FECHA,PAÍS,ACRÓNIMO,CATEGORÍA,QUERY,NOTICIA,ESTADO,MOTIVO
19/03/2026 15:09:53,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Regionalliga Bayern: Der 24. Spieltag - Bayerischer Fussball-Verband,DESCARTADO,score=-4 | flags=negativo | Alemania ruido o sigla sin contexto
19/03/2026 15:09:54,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:09:55,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:09:56,ALEMANIA,BND,Seguridad estratégica,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:09:57,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",BfV sieht «mehr Risikoappetit» bei ausländischen Angreifern - T-Online,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:09:58,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",CDU: Verfassungsschutz soll Linke-Beschluss prüfen - noz.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:09:59,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",BFV-Verbandspokal der Frauen mit Münchner Stadtderby - Wochenanzeiger,DESCARTADO,score=2 | flags=positivo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:00,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:03,ALEMANIA,BND,Seguridad estratégica,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:04,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:05,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:06,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Westdeutsche Zeitung,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:07,ALEMANIA,BND,Seguridad estratégica,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Saarbrücker Zeitung,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:09,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (""neuer Mann"" OR Präsident OR Praesident OR Chef OR Leitung)","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:10,ALEMANIA,BND,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (""neuer Mann"" OR Präsident OR Praesident OR Chef OR Leitung)",Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:12,ALEMANIA,BND,Seguridad estratégica,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:13,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:14,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Nachrichtendienste: Wird der Verfassungsschutz bald das deutsche FBI? - T-Online,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:16,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")",BREAKING NEWS: Mountain Grove school-wide emergency 0319 655AM BND KOLR DAYBREAK - OzarksFirst.com,DESCARTADO,score=2 | flags=positivo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:17,ALEMANIA,BND,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")",Stutsman County producers seek over $25M in aid; BND expands ag relief to $500M - KSJB AM 600,DESCARTADO,score=2 | flags=positivo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:18,ALEMANIA,BND,Ciberinteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (espionage OR counterintelligence OR sabotage OR Russia OR Russian)","France, Germany, Russia High-ranking BND official falls victim to Russian phishing campaign on Signal and WhatsApp - Intelligence Online",ACEPTADO,"score=5 | flags=positivo,ciber,ciber_actor,radar | Alemania fuerte"
19/03/2026 15:10:21,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Regionalliga Bayern: Der 24. Spieltag - Bayerischer Fussball-Verband,DESCARTADO,score=-4 | flags=negativo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:22,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:23,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:24,ALEMANIA,BFV,Seguridad estratégica,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:25,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",BfV sieht «mehr Risikoappetit» bei ausländischen Angreifern - T-Online,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:26,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",CDU: Verfassungsschutz soll Linke-Beschluss prüfen - noz.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:27,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"")",BFV-Verbandspokal der Frauen mit Münchner Stadtderby - Wochenanzeiger,DESCARTADO,score=2 | flags=positivo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:28,ALEMANIA,BFV,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:29,ALEMANIA,BFV,Seguridad estratégica,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:30,ALEMANIA,BFV,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:32,ALEMANIA,BFV,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:33,ALEMANIA,BFV,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Westdeutsche Zeitung,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:34,ALEMANIA,BFV,Seguridad estratégica,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""BfV"") (Deutschland OR Geheimdienst OR Spionage OR Extremismus OR Präsident OR Praesident)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Saarbrücker Zeitung,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:35,ALEMANIA,BFV,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (""neuer Mann"" OR Präsident OR Praesident OR Chef OR Leitung)","Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:36,ALEMANIA,BFV,Inteligencia,"(""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (""neuer Mann"" OR Präsident OR Praesident OR Chef OR Leitung)",Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:37,ALEMANIA,BFV,Seguridad estratégica,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:39,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:40,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesnachrichtendienst"") (Spionage OR Gegenspionage OR Geheimdienst OR Terrorismus OR Sabotage)",Nachrichtendienste: Wird der Verfassungsschutz bald das deutsche FBI? - T-Online,ACEPTADO,score=2 | flags=positivo | Alemania fuerte
19/03/2026 15:10:42,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")",BREAKING NEWS: Mountain Grove school-wide emergency 0319 655AM BND KOLR DAYBREAK - OzarksFirst.com,DESCARTADO,score=2 | flags=positivo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:42,ALEMANIA,BFV,Inteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"" OR ""Bundesnachrichtendienst"" OR ""German intelligence"" OR ""German domestic intelligence"")",Stutsman County producers seek over $25M in aid; BND expands ag relief to $500M - KSJB AM 600,DESCARTADO,score=2 | flags=positivo | Alemania ruido o sigla sin contexto
19/03/2026 15:10:43,ALEMANIA,BFV,Ciberinteligencia,"(""BfV"" OR ""BND"" OR ""Verfassungsschutz"" OR ""Bundesamt für Verfassungsschutz"") (espionage OR counterintelligence OR sabotage OR Russia OR Russian)","France, Germany, Russia High-ranking BND official falls victim to Russian phishing campaign on Signal and WhatsApp - Intelligence Online",ACEPTADO,"score=5 | flags=positivo,ciber,ciber_actor,radar | Alemania fuerte"
19/03/2026 15:10:45,BOLIVIA,DNI,Inteligencia,"""DNI"" Bolivia inteligencia",La directora de Inteligencia Nacional de EE.UU. asegura que Irán continúa representando una amenaza - Escenario Mundial,ACEPTADO,"score=3 | flags=positivo,radar | Regla general"
19/03/2026 15:10:48,BOLIVIA,DNI,Inteligencia,"(""DNI"" OR ""Dirección Nacional de Inteligencia"" OR ""Bolivia"") (""intelligence"" OR ""spy"" OR ""espionage"" OR ""cyber attack"" OR ""security service"" OR ""counterintelligence"" OR ""inteligencia"" OR ""espia"" OR ""espía"" OR ""espionaje"" OR ""ciberataque"" OR ""servicio de seguridad"" OR ""contrainteligencia"")",Vídeo del DNI Tulsi Gabbard ofrece una evaluación de inteligencia sobre Irán durante una audiencia en el Senado - ucvradio.pe,ACEPTADO,"score=3 | flags=positivo,radar | Regla general"
19/03/2026 15:10:50,BRASIL,ABIN,Inteligencia,"(""ABIN"" OR ""Agência Brasileira de Inteligência"" OR ""Agencia Brasileira de Inteligencia"") Brasil",Abin avalia que designação de PCC e CV como terroristas abre brecha para interferência - ICL Notícias,ACEPTADO,score=2 | flags=positivo | Brasil fuerte
19/03/2026 15:10:51,BRASIL,ABIN,Inteligencia,"(""ABIN"" OR ""Agência Brasileira de Inteligência"" OR ""Agencia Brasileira de Inteligencia"") Brasil",Abin alerta para risco de enquadrar PCC e CV como terroristas - O Antagonista,ACEPTADO,score=2 | flags=positivo | Brasil fuerte
19/03/2026 15:10:52,BRASIL,ABIN,Inteligencia,"(""ABIN"" OR ""Agência Brasileira de Inteligência"" OR ""Agencia Brasileira de Inteligencia"") Brasil",Abin alerta que classificar facções como terroristas ameaça soberania do Brasil - Folha MS,ACEPTADO,"score=3 | flags=pais,positivo | Brasil fuerte"
19/03/2026 15:10:53,BRASIL,ABIN,Inteligencia,"(""ABIN"" OR ""Agência Brasileira de Inteligência"") espionagem OR inteligência OR ""abin paralela""",Abin alerta que classificar facções como terroristas ameaça soberania do Brasil - Folha MS,ACEPTADO,"score=3 | flags=pais,positivo | Brasil fuerte"
19/03/2026 15:10:55,CHILE,ANI,Inteligencia,"(""ANI"" OR ""Agencia Nacional de Inteligencia"" OR ""inteligencia chilena"")",Entrevista a Lady Ani (LAST DAYS OF EDEN): “Nuestra música tiene un público minoritario” - Metalcry.com,DESCARTADO,score=2 | flags=positivo | Chile ANI ruido o contexto débil
19/03/2026 15:11:00,CHINA,MSS,Inteligencia,"(""MSS"" OR ""Ministry of State Security"" OR ""China"") (""intelligence"" OR ""spy"" OR ""espionage"" OR ""cyber attack"" OR ""security service"" OR ""counterintelligence"" OR ""inteligencia"" OR ""espia"" OR ""espía"" OR ""espionaje"" OR ""ciberataque"" OR ""servicio de seguridad"" OR ""contrainteligencia"")","China not planning to invade Taiwan in 2027, US intelligence agencies say - Sky News",DESCARTADO,"score=2 | flags=pais,radar | China ruido cultural o contexto débil"
19/03/2026 15:11:01,CHINA,MSS,Inteligencia,"(""MSS"" OR ""Ministry of State Security"" OR ""China"") (""intelligence"" OR ""spy"" OR ""espionage"" OR ""cyber attack"" OR ""security service"" OR ""counterintelligence"" OR ""inteligencia"" OR ""espia"" OR ""espía"" OR ""espionaje"" OR ""ciberataque"" OR ""servicio de seguridad"" OR ""contrainteligencia"")","Spotlight Canada Despite thaw, Canadian intelligence remains vigilant on China - Intelligence Online",ACEPTADO,"score=2 | flags=pais,radar | China/MSS fuerte"
19/03/2026 15:11:01,CHINA,MSS,Inteligencia,"(""MSS"" OR ""Ministry of State Security"" OR ""China"") (""intelligence"" OR ""spy"" OR ""espionage"" OR ""cyber attack"" OR ""security service"" OR ""counterintelligence"" OR ""inteligencia"" OR ""espia"" OR ""espía"" OR ""espionaje"" OR ""ciberataque"" OR ""servicio de seguridad"" OR ""contrainteligencia"")",US intelligence agencies not expecting China to invade Taiwan in 2027 - Al Jazeera,DESCARTADO,"score=2 | flags=pais,radar | China ruido cultural o contexto débil"
19/03/2026 15:11:02,CHINA,MSS,Inteligencia,"(""MSS"" OR ""Ministry of State Security"" OR ""China"") (""intelligence"" OR ""spy"" OR ""espionage"" OR ""cyber attack"" OR ""security service"" OR ""counterintelligence"" OR ""inteligencia"" OR ""espia"" OR ""espía"" OR ""espionaje"" OR ""ciberataque"" OR ""servicio de seguridad"" OR ""contrainteligencia"")",US Intelligence Agencies Soften Outlook on China’s Plans for Taiwan - Bloomberg.com,DESCARTADO,"score=2 | flags=pais,radar | China ruido cultural o contexto débil"
19/03/2026 15:11:04,COLOMBIA,DNI,Inteligencia,"""Dirección Nacional de Inteligencia"" Colombia","Hackearon a la Dian, confirmó la Dirección Nacional de Inteligencia: podrían alterar los datos en las elecciones presidenciales - Infobae",ACEPTADO,"score=7 | flags=nombre,positivo,radar | Colombia fuerte"
19/03/2026 15:11:05,COLOMBIA,DNI,Ciberinteligencia,"""Dirección Nacional de Inteligencia"" Colombia",Dian bajo alerta por ciberataques; inteligencia advierte riesgo de manipulación de datos de cara a elecciones - elpais.com.co,DESCARTADO,"score=5 | flags=positivo,ciber,ciber_actor,radar | Colombia ruido o contexto débil"
19/03/2026 15:11:05,COLOMBIA,DNI,Inteligencia,"""Dirección Nacional de Inteligencia"" Colombia",DNI advierte sobre vulneración de datos ciudadanos y riesgos para el proceso electoral - Portafolio.co,DESCARTADO,score=2 | flags=positivo | Colombia ruido o contexto débil
19/03/2026 15:11:06,COLOMBIA,DNI,Inteligencia,"""Dirección Nacional de Inteligencia"" Colombia","Dian confirmó que hackearon la entidad, pero aseguró que información de los colombianos no está comprometida - Infobae",DESCARTADO,score=1 | flags=pais | Colombia ruido o contexto débil
19/03/2026 15:11:09,COLOMBIA,DNI,Inteligencia,"""DNI"" Colombia inteligencia","Hackearon a la Dian, confirmó la Dirección Nacional de Inteligencia: podrían alterar los datos en las elecciones presidenciales - Infobae",ACEPTADO,"score=7 | flags=nombre,positivo,radar | Colombia fuerte"
